"","year","month","sex"
"805",2003,10,1
"806",2003,10,1
"807",2003,10,1
"808",2003,10,1
"809",2003,10,1
"810",2003,10,1
"811",2003,10,1
"812",2003,10,1
"813",2003,10,1
"814",2003,10,1
"815",2003,10,1
"816",2003,10,1
"817",2003,10,1
"818",2003,10,1
"819",2003,10,1
"820",2003,10,1
"821",2003,10,1
"822",2003,10,1
"823",2003,10,1
"824",2003,10,1
"825",2003,10,1
"826",2003,10,1
"827",2003,10,1
"828",2003,10,1
"829",2003,10,1
"830",2003,10,1
"831",2003,10,1
"832",2003,10,1
"833",2003,10,1
"834",2003,10,3
"835",2003,10,1
"836",2003,10,1
"837",2003,10,1
"838",2003,10,1
"839",2003,10,3
"840",2003,10,3
"841",2003,10,1
"842",2003,10,1
"843",2003,10,1
"844",2003,10,1
"845",2003,10,1
"846",2003,10,1
"847",2003,10,1
"848",2003,10,1
"849",2003,10,1
"850",2003,10,1
"851",2003,10,1
"852",2003,10,3
"853",2003,10,1
"854",2003,10,1
"855",2003,10,1
"856",2003,10,1
"857",2003,10,1
"858",2003,10,1
"859",2003,10,1
"860",2003,10,1
"861",2003,10,1
"862",2003,10,1
"863",2003,10,1
"864",2003,10,1
"865",2003,10,1
"866",2003,10,1
"867",2003,10,1
"868",2003,10,1
"869",2003,10,1
"870",2003,10,1
"871",2003,10,1
"872",2003,10,1
"873",2003,10,1
"874",2003,10,1
"875",2003,10,1
"876",2003,3,3
"877",2003,3,3
"878",2003,3,1
"879",2003,3,3
"880",2003,3,3
"881",2003,3,3
"882",2003,3,1
"883",2003,3,3
"884",2003,3,3
"885",2003,3,5
"886",2003,3,3
"887",2003,3,3
"888",2003,3,1
"889",2003,3,3
"890",2003,3,3
"891",2003,3,3
"892",2003,3,3
"893",2003,3,3
"894",2003,3,3
"895",2003,3,NA
"896",2003,3,3
"897",2003,3,1
"898",2003,3,3
"899",2003,3,1
"900",2003,3,3
"901",2003,3,1
"902",2003,3,3
"903",2003,3,1
"904",2003,3,3
"905",2003,3,3
"906",2003,3,1
"907",2003,3,3
"908",2003,3,3
"909",2003,3,1
"910",2003,3,3
"911",2003,10,1
"912",2003,10,1
"913",2003,10,1
"914",2003,10,1
"915",2003,10,1
"916",2003,10,1
"917",2003,10,1
"918",2003,10,1
"919",2003,10,1
"920",2003,10,1
"921",2003,10,1
"922",2003,10,1
"923",2003,10,1
"924",2003,10,1
"925",2003,10,1
"926",2003,10,3
"927",2003,10,1
"928",2003,10,1
"929",2003,10,1
"930",2003,10,1
"931",2003,10,1
"932",2003,10,1
"933",2003,10,1
"934",2003,10,1
"935",2003,10,1
"936",2003,10,1
"937",2003,10,1
"938",2003,10,1
"939",2003,10,1
"940",2003,10,1
"941",2003,10,3
"942",2003,10,3
"943",2003,10,3
"944",2003,10,1
"945",2003,10,1
"946",2003,10,1
"947",2003,10,1
"948",2003,10,1
"949",2003,10,NA
"950",2003,10,NA
"951",2003,10,1
"952",2003,10,1
"953",2003,10,1
"954",2003,10,1
"955",2003,10,1
"956",2003,10,1
"957",2003,10,3
"958",2003,10,3
"959",2003,10,5
"960",2003,10,5
"961",2003,10,1
"962",2003,10,1
"963",2003,10,3
"964",2003,10,3
"965",2003,10,1
"966",2003,10,1
"967",2003,10,1
"968",2003,10,1
"969",2003,10,1
"970",2003,10,1
"971",2003,10,1
"972",2003,10,1
"973",2003,10,1
"974",2003,10,1
"975",2003,10,1
"976",2003,10,3
"977",2003,10,1
"978",2003,10,1
"979",2003,10,1
"980",2003,10,3
"981",2003,10,1
"982",2003,10,5
"983",2003,10,NA
"984",2003,10,1
"985",2003,10,1
"986",2003,10,1
"987",2003,10,1
"988",2003,10,1
"989",2003,10,1
"990",2003,10,1
"991",2003,10,1
"992",2003,10,1
"993",2003,10,1
"994",2003,10,1
"995",2003,10,1
"996",2003,10,1
"997",2003,10,1
"998",2003,10,1
"999",2003,10,1
"1000",2003,10,1
"1001",2003,10,1
"1002",2003,10,1
"1003",2003,10,1
"1004",2003,10,1
"1005",2003,10,3
"1006",2003,10,1
"1007",2003,10,1
"1008",2003,10,5
"1009",2003,10,1
"1010",2003,10,1
"1011",2003,10,1
"1012",2003,10,1
"1013",2003,10,1
"1014",2003,10,5
"1015",2003,10,3
"1016",2003,10,1
"1017",2003,10,1
"1018",2003,10,1
"1019",2003,10,1
"1020",2003,10,1
"1021",2003,10,1
"1022",2003,10,1
"1023",2003,10,1
"1024",2003,10,1
"1025",2003,10,1
"1026",2003,10,5
"1027",2003,10,1
"1028",2003,10,1
"1029",2003,11,1
"1030",2003,11,1
"1031",2003,11,1
"1032",2003,11,1
"1033",2003,11,1
"1034",2003,11,1
"1035",2003,11,1
"1036",2003,11,1
"1037",2003,11,1
"1038",2003,11,1
"1039",2003,11,1
"1040",2003,11,1
"1041",2003,3,3
"1042",2003,3,1
"1043",2003,3,1
"1044",2003,3,3
"1045",2003,3,3
"1046",2003,3,3
"1047",2003,3,1
"1048",2003,3,1
"1049",2003,3,3
"1050",2003,3,3
"1051",2003,3,3
"1052",2003,3,3
"1053",2003,3,3
"1054",2003,3,3
"1055",2003,3,3
"1056",2003,3,1
"1057",2003,3,3
"1058",2003,3,1
"1059",2003,3,3
"1060",2003,3,3
"1061",2003,3,5
"1062",2003,3,3
"1063",2003,3,3
"1064",2003,3,3
"1065",2003,3,1
